Items,Origin,Items grouped,Item group filter,Category,Unit,amount,"FSC - KGs (sack=25, pack=1, box=4.5)",FSC - Total KGs,Mission,District,VDC,Village/Ward/extra info,VDC Latitude,VDC Longitude,District Latitude,District Longitude,Date
PCM,,Medicine - drug,54,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 nosheet 05,Lalitpur,Chapagaun,Bista Gaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Piyush,,Piyush,1,Sanitation - Water purification,bottle,4,Undefined,#VALUE!,MISSION 01/5 nosheet 05,Lalitpur,Chapagaun,Bista Gaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Plastic rolls,,Plastic rolls,1,Shelter,rolls,1,Undefined,#VALUE!,MISSION 01/5 nosheet 05,Lalitpur,Chapagaun,Bista Gaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Sanitary napkins,,Medicine - supplies,28,Sanitation - supplies,pack,5,Undefined,#VALUE!,MISSION 01/5 nosheet 05,Lalitpur,Chapagaun,Bista Gaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Acenac (muscular pains),,Medicine - drug,6,Medicine,tabs,50,Undefined,#VALUE!,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
Beaten rice,,Beaten Rice,1,Food - Dry Food,sack,1,25,25,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
Betadine,,Medicine - drug,14,Medicine,bottle,4,Undefined,#VALUE!,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
Biscuits,,Biscuits,1,Food - Dry Food,box,3,4.5,13.5,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
Cotton,,Medicine - supplies,6,Sanitation - supplies,pack,1,Undefined,#VALUE!,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
Crepe Bandage,,Medicine - supplies,7,Sanitation - supplies,rolls,4,Undefined,#VALUE!,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
Foam Pads,,Medicine - supplies,15,Sanitation - supplies,unit,8,Undefined,#VALUE!,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
Gauge Bandage,,Medicine - supplies,16,Sanitation - supplies,rolls,4,Undefined,#VALUE!,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
Metal Pegs,,Metal Pegs,1,Shelter,unit,64,Undefined,#VALUE!,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
Metronidazole,,Medicine - drug,43,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
Noodles,,Noodles,1,Food - Dry Food,box,2,4.5,9,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
ORS,,Medicine - rehydration,4,Medicine,box,3,Undefined,#VALUE!,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
Pasta-Thick,,Pasta,1,Food - Dry Food,pack,80,1,80,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
PCM,,Medicine - drug,54,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
Piyush,,Piyush,1,Sanitation - Water purification,bottle,4,Undefined,#VALUE!,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
Rope,,Rope,2,Shelter,unit,8,Undefined,#VALUE!,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
Sanitary napkins,,Medicine - supplies,28,Sanitation - supplies,pack,5,Undefined,#VALUE!,MISSION 01/5 nosheet 06,Lalitpur,Chapagaun,Jhalungtar,27.5935,85.3297,27.58333,85.33333,1-May-15
Biscuits,,Biscuits,1,Food - Dry Food,box,10,4.5,45,MISSION 01/5 nosheet 07,Lalitpur,Devichour,"and also Dhusel, Chhampi, Dukuchhap",27.5635,85.283,27.58333,85.33333,1-May-15
Glucose - D,,Medicine - drug,31,Medicine,bottle,24,Undefined,#VALUE!,MISSION 01/5 nosheet 07,Lalitpur,Devichour,"and also Dhusel, Chhampi, Dukuchhap",27.5635,85.283,27.58333,85.33333,1-May-15
Lime,,Lime,1,Shelter,pack,20,Undefined,#VALUE!,MISSION 01/5 nosheet 07,Lalitpur,Devichour,"and also Dhusel, Chhampi, Dukuchhap",27.5635,85.283,27.58333,85.33333,1-May-15
Noodles,,Noodles,2,Food - Dry Food,box,4,4.5,18,MISSION 01/5 nosheet 07,Lalitpur,Devichour,"and also Dhusel, Chhampi, Dukuchhap",27.5635,85.283,27.58333,85.33333,1-May-15
Tent (12x15),,Tarp,5,Shelter,unit,45,Undefined,#VALUE!,MISSION 01/5 nosheet 07,Lalitpur,Devichour,"and also Dhusel, Chhampi, Dukuchhap",27.5635,85.283,27.58333,85.33333,1-May-15
Tent (18x24),,Tarp,8,Shelter,unit,15,Undefined,#VALUE!,MISSION 01/5 nosheet 07,Lalitpur,Devichour,"and also Dhusel, Chhampi, Dukuchhap",27.5635,85.283,27.58333,85.33333,1-May-15
Beaten rice,,Beaten Rice,1,Food - Dry Food,sack,1,25,25,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
Betadine,,Medicine - drug,14,Medicine,bottle,4,Undefined,#VALUE!,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
Biscuits,,Biscuits,1,Food - Dry Food,box,3,4.5,13.5,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
Cotton,,Medicine - supplies,6,Sanitation - supplies,pack,1,Undefined,#VALUE!,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
Crepe Bandage,,Medicine - supplies,7,Sanitation - supplies,rolls,1,Undefined,#VALUE!,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
Foam Pads,,Medicine - supplies,15,Sanitation - supplies,unit,5,Undefined,#VALUE!,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
Gauge Bandage,,Medicine - supplies,16,Sanitation - supplies,rolls,18,Undefined,#VALUE!,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
Ibuprofen,,Medicine - drug,35,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
Metal Pegs,,Metal Pegs,1,Shelter,unit,40,Undefined,#VALUE!,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
Metronidazole,,Medicine - drug,43,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
Noodles,,Noodles,1,Food - Dry Food,box,2,4.5,9,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
ORS,,Medicine - rehydration,4,Medicine,box,36,Undefined,#VALUE!,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
PCM,,Medicine - drug,54,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
Piyush,,Piyush,1,Sanitation - Water purification,bottle,4,Undefined,#VALUE!,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
Plastic rolls,,Plastic rolls,1,Shelter,rolls,1,Undefined,#VALUE!,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
Rope,,Rope,2,Shelter,unit,5,Undefined,#VALUE!,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
Sanitary napkins,,Medicine - supplies,28,Sanitation - supplies,pack,5,Undefined,#VALUE!,MISSION 01/5 nosheet 08,Lalitpur,Chapagaun,Ghyampedanda,27.5935,85.3297,27.58333,85.33333,1-May-15
Betadine,,Medicine - drug,14,Medicine,bottle,4,Undefined,#VALUE!,MISSION 01/5 nosheet 09,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.342,27.58333,85.33333,1-May-15
Brucet,,Medicine - drug,15,Medicine,tabs,105,Undefined,#VALUE!,MISSION 01/5 nosheet 09,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.342,27.58333,85.33333,1-May-15
Cotton,,Medicine - supplies,6,Sanitation - supplies,pack,1,Undefined,#VALUE!,MISSION 01/5 nosheet 09,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.342,27.58333,85.33333,1-May-15
Crepe Bandage,,Medicine - supplies,7,Sanitation - supplies,rolls,1,Undefined,#VALUE!,MISSION 01/5 nosheet 09,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.342,27.58333,85.33333,1-May-15
Gauge Bandage,,Medicine - supplies,16,Sanitation - supplies,rolls,12,Undefined,#VALUE!,MISSION 01/5 nosheet 09,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.342,27.58333,85.33333,1-May-15
Metronidazole,,Medicine - drug,43,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 nosheet 09,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.342,27.58333,85.33333,1-May-15
ORS,,Medicine - rehydration,4,Medicine,box,36,Undefined,#VALUE!,MISSION 01/5 nosheet 09,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.342,27.58333,85.33333,1-May-15
PCM,,Medicine - drug,54,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 nosheet 09,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.342,27.58333,85.33333,1-May-15
Piyush,,Piyush,1,Sanitation - Water purification,bottle,4,Undefined,#VALUE!,MISSION 01/5 nosheet 09,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.342,27.58333,85.33333,1-May-15
Sanitary napkins,,Medicine - supplies,28,Sanitation - supplies,pack,5,Undefined,#VALUE!,MISSION 01/5 nosheet 09,Lalitpur,Jharuwarasi,and also Chapagaun,27.6123,85.342,27.58333,85.33333,1-May-15
Adhesive tape,,Medicine - supplies,2,Sanitation - supplies,rolls,1,Undefined,#VALUE!,MISSION 01/5 nosheet 10,Kathmandu District,Baad Bhanjyang,Mabina,27.70476,85.2104,27.70704,85.33218,1-May-15
Azifast (amoxil),,Medicine - drug,10,Medicine,tabs,30,Undefined,#VALUE!,MISSION 01/5 nosheet 10,Kathmandu District,Baad Bhanjyang,Mabina,27.70476,85.2104,27.70704,85.33218,1-May-15
Betadine,,Medicine - drug,14,Medicine,bottle,1,Undefined,#VALUE!,MISSION 01/5 nosheet 10,Kathmandu District,Baad Bhanjyang,Mabina,27.70476,85.2104,27.70704,85.33218,1-May-15
Brufen,,Medicine - drug,16,Medicine,bottle,80,Undefined,#VALUE!,MISSION 01/5 nosheet 10,Kathmandu District,Baad Bhanjyang,Mabina,27.70476,85.2104,27.70704,85.33218,1-May-15
Dettol antiseptic liquids,,Medicine - supplies,8,Sanitation - supplies,bottle,2,Undefined,#VALUE!,MISSION 01/5 nosheet 10,Kathmandu District,Baad Bhanjyang,Mabina,27.70476,85.2104,27.70704,85.33218,1-May-15
Levocetrizine,,Medicine - drug,39,Medicine,tabs,50,Undefined,#VALUE!,MISSION 01/5 nosheet 10,Kathmandu District,Baad Bhanjyang,Mabina,27.70476,85.2104,27.70704,85.33218,1-May-15
Ligdocaine,,Medicine - drug,41,Medicine,bottle,1,Undefined,#VALUE!,MISSION 01/5 nosheet 10,Kathmandu District,Baad Bhanjyang,Mabina,27.70476,85.2104,27.70704,85.33218,1-May-15
Sanitary napkins,,Medicine - supplies,28,Sanitation - supplies,pack,4,Undefined,#VALUE!,MISSION 01/5 nosheet 10,Kathmandu District,Baad Bhanjyang,Mabina,27.70476,85.2104,27.70704,85.33218,1-May-15
syringe,,Medicine - supplies,31,Sanitation - supplies,box,22,Undefined,#VALUE!,MISSION 01/5 nosheet 10,Kathmandu District,Baad Bhanjyang,Mabina,27.70476,85.2104,27.70704,85.33218,1-May-15
Betadine,,Medicine - drug,14,Medicine,bottle,4,Undefined,#VALUE!,MISSION 01/5 nosheet 11,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Cotton,,Medicine - supplies,6,Sanitation - supplies,pack,1,Undefined,#VALUE!,MISSION 01/5 nosheet 11,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Crepe Bandage,,Medicine - supplies,7,Sanitation - supplies,rolls,4,Undefined,#VALUE!,MISSION 01/5 nosheet 11,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Gauge Bandage,,Medicine - supplies,16,Sanitation - supplies,rolls,4,Undefined,#VALUE!,MISSION 01/5 nosheet 11,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Metronidazole,,Medicine - drug,43,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 nosheet 11,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,1-May-15
ORS,,Medicine - rehydration,4,Medicine,box,3,Undefined,#VALUE!,MISSION 01/5 nosheet 11,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,1-May-15
paraflam,,Medicine - drug,53,Medicine,unit,6,Undefined,#VALUE!,MISSION 01/5 nosheet 11,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,1-May-15
PCM,,Medicine - drug,54,Medicine,tabs,100,Undefined,#VALUE!,MISSION 01/5 nosheet 11,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Piyush,,Piyush,1,Sanitation - Water purification,bottle,4,Undefined,#VALUE!,MISSION 01/5 nosheet 11,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Plastic rolls,,Plastic rolls,1,Shelter,rolls,1,Undefined,#VALUE!,MISSION 01/5 nosheet 11,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,1-May-15
Sanitary napkins,,Medicine - supplies,28,Sanitation - supplies,pack,5,Undefined,#VALUE!,MISSION 01/5 nosheet 11,Lalitpur,Chapagaun,Neupanegaun,27.5935,85.3297,27.58333,85.33333,1-May-15
,,Beaten Rice,,Food - Dry Food,sack,1,25,25,MISSION 02/5 *01,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Biscuits,,Food - Dry Food,box,10,4.5,45,MISSION 02/5 *01,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Noodles,,Food - Dry Food,box,2,4.5,9,MISSION 02/5 *01,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Medicine - drug,,Medicine,tabs,20,Undefined,#VALUE!,MISSION 02/5 *01,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Medicine - rehydration,,Medicine,unit,100,Undefined,#VALUE!,MISSION 02/5 *01,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,72,Undefined,#VALUE!,MISSION 02/5 *01,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Plastic rolls,,Shelter,rolls,1,Undefined,#VALUE!,MISSION 02/5 *01,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Tarp,,Shelter,unit,57,Undefined,#VALUE!,MISSION 02/5 *01,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Tarp,,Shelter,unit,11,Undefined,#VALUE!,MISSION 02/5 *01,Sindhupalchok,Jalbire,,27.82148,85.78307,27.82936,85.54504,2-May-15
,,Beaten Rice,,Food - Dry Food,sack,1,25,25,MISSION 02/5 *02,Sindhupalchok,Kadambas,,27.72394,85.76373,27.82936,85.54504,2-May-15
,,Biscuits,,Food - Dry Food,box,2,4.5,9,MISSION 02/5 *02,Sindhupalchok,Kadambas,,27.72394,85.76373,27.82936,85.54504,2-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 02/5 *02,Sindhupalchok,Kadambas,,27.72394,85.76373,27.82936,85.54504,2-May-15
,,Medicine - rehydration,,Medicine,unit,50,Undefined,#VALUE!,MISSION 02/5 *02,Sindhupalchok,Kadambas,,27.72394,85.76373,27.82936,85.54504,2-May-15
,,Piyush,,Sanitation - Water purification,bottle,3,Undefined,#VALUE!,MISSION 02/5 *02,Sindhupalchok,Kadambas,,27.72394,85.76373,27.82936,85.54504,2-May-15
,,Lime,,Shelter,pack,12,Undefined,#VALUE!,MISSION 02/5 *02,Sindhupalchok,Kadambas,,27.72394,85.76373,27.82936,85.54504,2-May-15
,,Plastic rolls,,Shelter,rolls,1,Undefined,#VALUE!,MISSION 02/5 *02,Sindhupalchok,Kadambas,,27.72394,85.76373,27.82936,85.54504,2-May-15
,,Tarp,,Shelter,unit,7,Undefined,#VALUE!,MISSION 02/5 *02,Sindhupalchok,Kadambas,,27.72394,85.76373,27.82936,85.54504,2-May-15
,,Tarp,,Shelter,unit,3,Undefined,#VALUE!,MISSION 02/5 *02,Sindhupalchok,Kadambas,,27.72394,85.76373,27.82936,85.54504,2-May-15
,,Beaten Rice,,Food - Dry Food,sack,8,25,200,MISSION 02/5 *03,Lalitpur,Bhattedanda,and also Malta VDC,27.5108,85.2961,27.58333,85.33333,2-May-15
,,Biscuits,,Food - Dry Food,box,12,4.5,54,MISSION 02/5 *03,Lalitpur,Bhattedanda,and also Malta VDC,27.5108,85.2961,27.58333,85.33333,2-May-15
,,Noodles,,Food - Dry Food,box,12,4.5,54,MISSION 02/5 *03,Lalitpur,Bhattedanda,and also Malta VDC,27.5108,85.2961,27.58333,85.33333,2-May-15
,,Medical Kit,,Medicine,unit,3,Undefined,#VALUE!,MISSION 02/5 *03,Lalitpur,Bhattedanda,and also Malta VDC,27.5108,85.2961,27.58333,85.33333,2-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,72,Undefined,#VALUE!,MISSION 02/5 *03,Lalitpur,Bhattedanda,and also Malta VDC,27.5108,85.2961,27.58333,85.33333,2-May-15
,,Lime,,Shelter,pack,11,Undefined,#VALUE!,MISSION 02/5 *03,Lalitpur,Bhattedanda,and also Malta VDC,27.5108,85.2961,27.58333,85.33333,2-May-15
,,Rope,,Shelter,unit,85,Undefined,#VALUE!,MISSION 02/5 *03,Lalitpur,Bhattedanda,and also Malta VDC,27.5108,85.2961,27.58333,85.33333,2-May-15
,,Tarp,,Shelter,unit,85,Undefined,#VALUE!,MISSION 02/5 *03,Lalitpur,Bhattedanda,and also Malta VDC,27.5108,85.2961,27.58333,85.33333,2-May-15
,,Beaten Rice,,Food - Dry Food,sack,4,25,100,MISSION 02/5 *04,Dhading,Marpak,,28.0135,84.9646,28,84.91667,2-May-15
,,Biscuits,,Food - Dry Food,box,6,4.5,27,MISSION 02/5 *04,Dhading,Marpak,,28.0135,84.9646,28,84.91667,2-May-15
,,Noodles,,Food - Dry Food,box,6,4.5,27,MISSION 02/5 *04,Dhading,Marpak,,28.0135,84.9646,28,84.91667,2-May-15
,,Medical Kit,,Medicine,unit,2,Undefined,#VALUE!,MISSION 02/5 *04,Dhading,Marpak,,28.0135,84.9646,28,84.91667,2-May-15
,,Medicine - rehydration,,Medicine,unit,50,Undefined,#VALUE!,MISSION 02/5 *04,Dhading,Marpak,,28.0135,84.9646,28,84.91667,2-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,72,Undefined,#VALUE!,MISSION 02/5 *04,Dhading,Marpak,,28.0135,84.9646,28,84.91667,2-May-15
,,Tarp,,Shelter,unit,70,Undefined,#VALUE!,MISSION 02/5 *04,Dhading,Marpak,,28.0135,84.9646,28,84.91667,2-May-15
,,Tarp,,Shelter,unit,1,Undefined,#VALUE!,MISSION 02/5 *05,Lalitpur,LalitpurN.P.,,27.6691,85.3199,27.58333,85.33333,2-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 02/5 *06,Dhading,Marpak,,28.0135,84.9646,28,84.91667,2-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,20,Undefined,#VALUE!,MISSION 02/5 *06,Dhading,Marpak,,28.0135,84.9646,28,84.91667,2-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 02/5 *07,Ramechhap,Gumdel,,27.64091,86.42334,27.3303,86.06458,2-May-15
,,Medicine - rehydration,,Medicine,unit,200,Undefined,#VALUE!,MISSION 02/5 *07,Ramechhap,Gumdel,,27.64091,86.42334,27.3303,86.06458,2-May-15
,,Piyush,,Sanitation - Water purification,bottle,4,Undefined,#VALUE!,MISSION 02/5 *07,Ramechhap,Gumdel,,27.64091,86.42334,27.3303,86.06458,2-May-15
,,Beaten Rice,,Food - Dry Food,sack,2,25,50,MISSION 02/5 *08,Dolakha,Gaurisankar,Sinigaun,27.85563,86.26379,27.83333,86.25,2-May-15
,,Noodles,,Food - Dry Food,box,4,4.5,18,MISSION 02/5 *08,Dolakha,Gaurisankar,Sinigaun,27.85563,86.26379,27.83333,86.25,2-May-15
,,Medical Kit,,Medicine,unit,1,Undefined,#VALUE!,MISSION 02/5 *08,Dolakha,Gaurisankar,Sinigaun,27.85563,86.26379,27.83333,86.25,2-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,90,Undefined,#VALUE!,MISSION 02/5 *08,Dolakha,Gaurisankar,Sinigaun,27.85563,86.26379,27.83333,86.25,2-May-15
,,Beaten Rice,,Food - Dry Food,sack,12,25,300,MISSION 02/5 *09,Dhading,Reegaun,Satya,28.1121,84.9752,28,84.91667,2-May-15
,,Biscuits,,Food - Dry Food,box,14,4.5,63,MISSION 02/5 *09,Dhading,Reegaun,Satya,28.1121,84.9752,28,84.91667,2-May-15
,,Food,,Food - Supplies,pack,50,Undefined,#VALUE!,MISSION 02/5 *09,Dhading,Reegaun,Satya,28.1121,84.9752,28,84.91667,2-May-15
,,Noodles,,Food - Dry Food,box,3,4.5,13.5,MISSION 02/5 *09,Dhading,Reegaun,Satya,28.1121,84.9752,28,84.91667,2-May-15
,,Rice,,Food - Dry Food,sack,2,25,50,MISSION 02/5 *09,Dhading,Reegaun,Satya,28.1121,84.9752,28,84.91667,2-May-15
,,Salt,,Food - Dry Food,pack,50,1,50,MISSION 02/5 *09,Dhading,Reegaun,Satya,28.1121,84.9752,28,84.91667,2-May-15
,,Sugar,,Food - Dry Food,pack,50,1,50,MISSION 02/5 *09,Dhading,Reegaun,Satya,28.1121,84.9752,28,84.91667,2-May-15
,,Medical Kit,,Medicine,unit,2,Undefined,#VALUE!,MISSION 02/5 *09,Dhading,Reegaun,Satya,28.1121,84.9752,28,84.91667,2-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,120,Undefined,#VALUE!,MISSION 02/5 *09,Dhading,Reegaun,Satya,28.1121,84.9752,28,84.91667,2-May-15
,,Piyush,,Sanitation - Water purification,bottle,6,Undefined,#VALUE!,MISSION 02/5 *09,Dhading,Reegaun,Satya,28.1121,84.9752,28,84.91667,2-May-15
,,Biscuits,,Food - Dry Food,box,10,4.5,45,MISSION 02/5 *10,Gorkha,Aarupokhari,,28.0618,84.776,28.33333,84.83333,2-May-15
,,Noodles,,Food - Dry Food,box,3,4.5,13.5,MISSION 02/5 *10,Gorkha,Aarupokhari,,28.0618,84.776,28.33333,84.83333,2-May-15
,,Sugar,,Food - Dry Food,pack,51,1,51,MISSION 02/5 *10,Gorkha,Aarupokhari,,28.0618,84.776,28.33333,84.83333,2-May-15
,,Medicine - drug,,Medicine,tabs,180,Undefined,#VALUE!,MISSION 02/5 *10,Gorkha,Aarupokhari,,28.0618,84.776,28.33333,84.83333,2-May-15
,,Medicine - rehydration,,Medicine,unit,50,Undefined,#VALUE!,MISSION 02/5 *10,Gorkha,Aarupokhari,,28.0618,84.776,28.33333,84.83333,2-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,72,Undefined,#VALUE!,MISSION 02/5 *10,Gorkha,Aarupokhari,,28.0618,84.776,28.33333,84.83333,2-May-15
,,Purification tablets,,Sanitation - Water purification,tabs,500,Undefined,#VALUE!,MISSION 02/5 *10,Gorkha,Aarupokhari,,28.0618,84.776,28.33333,84.83333,2-May-15
,,Medicine - rehydration,,Medicine,unit,3,Undefined,#VALUE!,MISSION 02/5 *11,Kathmandu District,KirtipurN.P.,,27.67088,85.27748,27.70704,85.33218,2-May-15
,,Beaten Rice,,Food - Dry Food,sack,1,25,25,MISSION 02/5 *12,Dolakha,Chhetrapa,Yabo,27.66913,86.13334,27.83333,86.25,2-May-15
,,Biscuits,,Food - Dry Food,box,5,4.5,22.5,MISSION 02/5 *12,Dolakha,Chhetrapa,Yabo,27.66913,86.13334,27.83333,86.25,2-May-15
,,Noodles,,Food - Dry Food,box,2,4.5,9,MISSION 02/5 *12,Dolakha,Chhetrapa,Yabo,27.66913,86.13334,27.83333,86.25,2-May-15
,,Medicine - supplies,,Sanitation - supplies,unit,3,Undefined,#VALUE!,MISSION 02/5 *12,Dolakha,Chhetrapa,Yabo,27.66913,86.13334,27.83333,86.25,2-May-15
,,Lime,,Shelter,pack,10,Undefined,#VALUE!,MISSION 02/5 *12,Dolakha,Chhetrapa,Yabo,27.66913,86.13334,27.83333,86.25,2-May-15
,,Beaten Rice,,Food - Dry Food,sack,1,25,25,MISSION 02/5 *13,Dhading,Jyamrung,Kuma,27.976,84.8736,28,84.91667,2-May-15
,,Biscuits,,Food - Dry Food,box,1,4.5,4.5,MISSION 02/5 *13,Dhading,Jyamrung,Kuma,27.976,84.8736,28,84.91667,2-May-15
,,Sanitary pads,,Sanitation - supplies,pack,8,Undefined,#VALUE!,MISSION 02/5 *13,Dhading,Jyamrung,Kuma,27.976,84.8736,28,84.91667,2-May-15
,,Piyush,,Sanitation - Water purification,bottle,5,Undefined,#VALUE!,MISSION 02/5 *13,Dhading,Jyamrung,Kuma,27.976,84.8736,28,84.91667,2-May-15
